timeStamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,label
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",11.1,31.1,42.1,0.6,0.9,0.1,-61.0,80.0,-104.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",91.1,7.1,33.1,-0.2,0.7,0.0,23.0,6.0,149.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",91.1,34.1,11.1,-0.6,-0.4,0.1,-150.0,-68.0,-56.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",90.1,34.1,13.1,-0.9,-0.3,0.9,-76.0,-13.0,130.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",61.1,31.1,15.1,-0.8,0.2,0.2,74.0,-71.0,27.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",77.1,12.1,10.1,0.9,0.0,0.7,-79.0,86.0,-180.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",99.1,12.1,9.1,0.6,0.0,0.2,-12.0,-56.0,64.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",18.1,0.1,1.1,0.5,-0.9,0.1,41.0,-45.0,101.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",57.1,10.1,28.1,-0.5,0.3,0.7,-151.0,26.0,-117.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",21.1,25.1,18.1,-1.0,-0.1,-0.8,34.0,-27.0,103.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",89.1,0.1,35.1,0.5,-0.6,0.4,-57.0,-72.0,32.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",92.1,16.1,14.1,-1.0,-1.0,0.0,-132.0,-9.0,27.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",96.1,37.1,1.1,0.4,-0.2,0.1,-52.0,5.0,-47.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",71.1,29.1,43.1,0.9,0.1,-1.0,-96.0,49.0,50.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",10.1,30.1,13.1,-0.8,0.8,-0.8,64.0,18.0,133.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",75.1,30.1,0.1,0.6,-0.3,0.0,-173.0,73.0,153.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",52.1,11.1,24.1,-1.0,-1.0,0.8,-83.0,33.0,-2.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",14.1,45.1,12.1,-0.1,0.0,-0.1,-2.0,-40.0,75.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",43.1,5.1,35.1,0.4,0.5,-0.9,-149.0,-64.0,-169.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=37, tm_wday=2, tm_yday=17, tm_isdst=0)",59.1,33.1,14.1,0.7,0.9,0.8,-160.0,7.0,-95.0,pitch_down
