timeStamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,label
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",78.1,34.1,42.1,0.5,-1.0,-0.3,0.0,77.0,-94.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",28.1,12.1,13.1,-0.1,0.0,-0.7,-22.0,63.0,141.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",10.1,40.1,28.1,-1.0,0.4,-0.3,36.0,41.0,86.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",31.1,44.1,39.1,0.6,-0.6,0.2,-152.0,-76.0,34.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",19.1,28.1,21.1,0.0,-0.7,-0.3,-36.0,-7.0,-46.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",8.1,31.1,2.1,-0.2,-0.7,0.9,119.0,29.0,176.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",61.1,37.1,3.1,0.9,-0.2,-0.6,-180.0,-24.0,-17.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",74.1,36.1,9.1,-0.3,0.4,0.9,64.0,81.0,89.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",66.1,17.1,10.1,-0.1,-0.3,0.3,-79.0,-55.0,-164.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",74.1,35.1,31.1,0.2,-0.2,0.8,-70.0,57.0,117.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",89.1,46.1,40.1,0.1,0.2,-0.7,-68.0,-89.0,171.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",30.1,21.1,13.1,-0.2,0.0,-1.0,-141.0,-36.0,52.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",94.1,30.1,32.1,0.9,0.7,0.9,-148.0,-18.0,163.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",81.1,3.1,22.1,-0.9,0.6,0.8,11.0,10.0,-144.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",20.1,4.1,49.1,-0.1,-0.6,0.5,10.0,46.0,99.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",80.1,18.1,38.1,0.2,-0.2,-1.0,-118.0,-70.0,9.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",85.1,33.1,15.1,0.9,0.8,0.9,-139.0,72.0,-12.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",54.1,40.1,31.1,0.0,-0.2,0.1,-36.0,-61.0,-145.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",69.1,10.1,22.1,-0.7,-0.5,0.9,-90.0,-39.0,23.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=43, tm_wday=2, tm_yday=17, tm_isdst=0)",46.1,19.1,20.1,0.4,0.0,0.2,44.0,-6.0,141.0,pitch_up
