timeStamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,label
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=53, tm_wday=2, tm_yday=17, tm_isdst=0)",81.1,20.1,41.1,-0.1,-0.5,-0.3,156.0,-82.0,-175.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=53, tm_wday=2, tm_yday=17, tm_isdst=0)",84.1,17.1,49.1,0.6,-0.4,0.6,166.0,-3.0,20.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=53, tm_wday=2, tm_yday=17, tm_isdst=0)",84.1,41.1,10.1,0.8,0.1,-0.6,-62.0,-32.0,34.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=53, tm_wday=2, tm_yday=17, tm_isdst=0)",25.1,17.1,39.1,0.8,0.4,-0.5,-102.0,-2.0,89.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=54, tm_wday=2, tm_yday=17, tm_isdst=0)",34.1,27.1,40.1,0.4,-1.0,0.6,75.0,-87.0,68.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=55, tm_wday=2, tm_yday=17, tm_isdst=0)",65.1,11.1,2.1,-0.6,0.6,0.7,15.0,-65.0,90.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=55, tm_wday=2, tm_yday=17, tm_isdst=0)",15.1,42.1,10.1,-0.3,0.7,0.9,147.0,-75.0,-87.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=56, tm_wday=2, tm_yday=17, tm_isdst=0)",79.1,29.1,14.1,0.9,-0.9,-0.5,149.0,28.0,53.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=56, tm_wday=2, tm_yday=17, tm_isdst=0)",0.1,39.1,20.1,0.7,-0.4,0.8,-37.0,-52.0,-124.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=57, tm_wday=2, tm_yday=17, tm_isdst=0)",21.1,19.1,46.1,-0.3,-0.2,0.9,-153.0,-15.0,15.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=57, tm_wday=2, tm_yday=17, tm_isdst=0)",12.1,34.1,39.1,-0.6,0.4,-0.3,19.0,65.0,-55.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=58, tm_wday=2, tm_yday=17, tm_isdst=0)",76.1,11.1,25.1,0.9,0.1,-0.7,118.0,88.0,179.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=58, tm_wday=2, tm_yday=17, tm_isdst=0)",4.1,3.1,29.1,-0.5,0.1,-0.3,-16.0,-5.0,-139.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=59, tm_wday=2, tm_yday=17, tm_isdst=0)",54.1,6.1,0.1,-0.7,0.2,0.2,-119.0,-56.0,77.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=59, tm_wday=2, tm_yday=17, tm_isdst=0)",17.1,0.1,39.1,-0.5,-0.3,-0.8,139.0,27.0,96.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=0, tm_wday=2, tm_yday=17, tm_isdst=0)",48.1,12.1,29.1,0.9,-0.2,-0.7,77.0,-9.0,-28.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=0, tm_wday=2, tm_yday=17, tm_isdst=0)",66.1,21.1,7.1,0.6,0.5,0.0,-6.0,25.0,-119.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=1, tm_wday=2, tm_yday=17, tm_isdst=0)",12.1,43.1,27.1,0.2,-0.6,0.1,-22.0,-58.0,-164.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=1, tm_wday=2, tm_yday=17, tm_isdst=0)",70.1,3.1,39.1,0.4,0.9,-0.4,-145.0,-29.0,63.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=2, tm_wday=2, tm_yday=17, tm_isdst=0)",52.1,36.1,19.1,0.0,0.0,-0.7,89.0,55.0,3.0,pitch_down
