timeStamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,label
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=21, tm_wday=2, tm_yday=17, tm_isdst=0)",7.1,49.1,23.1,0.8,0.0,0.2,-156.0,8.0,143.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=21, tm_wday=2, tm_yday=17, tm_isdst=0)",9.1,40.1,15.1,0.2,-0.8,-0.3,83.0,-83.0,-11.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=22, tm_wday=2, tm_yday=17, tm_isdst=0)",40.1,12.1,3.1,-0.1,-0.1,0.7,-140.0,-57.0,159.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=22, tm_wday=2, tm_yday=17, tm_isdst=0)",78.1,16.1,35.1,0.7,-0.4,0.2,127.0,80.0,-27.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=23, tm_wday=2, tm_yday=17, tm_isdst=0)",79.1,49.1,29.1,-0.9,-0.3,0.2,-107.0,-54.0,65.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=23, tm_wday=2, tm_yday=17, tm_isdst=0)",45.1,28.1,41.1,0.4,0.7,-0.9,173.0,-2.0,-116.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=24, tm_wday=2, tm_yday=17, tm_isdst=0)",68.1,40.1,24.1,0.6,0.0,-0.7,142.0,16.0,9.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=24, tm_wday=2, tm_yday=17, tm_isdst=0)",24.1,1.1,3.1,0.7,-0.2,-0.2,-47.0,-32.0,-119.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=25, tm_wday=2, tm_yday=17, tm_isdst=0)",35.1,13.1,15.1,0.4,-0.7,0.6,5.0,-61.0,15.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=25, tm_wday=2, tm_yday=17, tm_isdst=0)",94.1,29.1,1.1,0.7,0.5,-0.5,-136.0,81.0,78.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=26, tm_wday=2, tm_yday=17, tm_isdst=0)",88.1,23.1,5.1,-0.8,0.2,-0.4,16.0,87.0,-142.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=26, tm_wday=2, tm_yday=17, tm_isdst=0)",44.1,1.1,47.1,0.1,-0.2,0.7,98.0,-53.0,-63.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=27, tm_wday=2, tm_yday=17, tm_isdst=0)",94.1,4.1,9.1,0.1,-0.5,0.5,-105.0,68.0,-38.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=27, tm_wday=2, tm_yday=17, tm_isdst=0)",99.1,18.1,12.1,-1.0,0.7,0.4,28.0,25.0,108.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=28, tm_wday=2, tm_yday=17, tm_isdst=0)",13.1,30.1,6.1,-0.8,-0.8,-0.5,22.0,82.0,-53.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=28, tm_wday=2, tm_yday=17, tm_isdst=0)",21.1,45.1,12.1,0.1,-0.9,0.0,51.0,68.0,-3.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=29, tm_wday=2, tm_yday=17, tm_isdst=0)",16.1,40.1,40.1,0.9,0.5,-0.4,152.0,28.0,-165.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=30, tm_wday=2, tm_yday=17, tm_isdst=0)",19.1,4.1,23.1,-0.1,-1.0,-0.5,-174.0,-27.0,-34.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=30, tm_wday=2, tm_yday=17, tm_isdst=0)",13.1,20.1,38.1,0.4,-1.0,-0.6,106.0,-56.0,-154.0,pitch_down
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=2, tm_sec=31, tm_wday=2, tm_yday=17, tm_isdst=0)",94.1,13.1,38.1,-0.6,0.0,0.0,99.0,-47.0,87.0,pitch_down
