timeStamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,label
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",38.1,8.1,29.1,-0.4,-0.2,-0.4,179.0,45.0,-151.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",76.1,38.1,46.1,0.9,-0.6,0.7,-124.0,28.0,111.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",83.1,48.1,20.1,-0.2,-0.9,0.1,158.0,87.0,166.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",61.1,28.1,28.1,-0.7,0.5,-0.4,8.0,-62.0,19.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",19.1,23.1,27.1,0.2,0.3,0.8,-47.0,25.0,51.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",75.1,4.1,12.1,0.2,0.9,0.1,95.0,-22.0,48.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",10.1,34.1,20.1,0.8,-0.5,-0.5,-61.0,45.0,-93.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",87.1,13.1,37.1,-0.4,0.4,-0.7,-65.0,54.0,55.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",56.1,49.1,14.1,0.3,-0.4,0.3,-176.0,57.0,134.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",30.1,17.1,15.1,0.0,-0.8,-0.5,174.0,62.0,61.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",85.1,41.1,6.1,-1.0,-1.0,0.2,-97.0,40.0,-55.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",0.1,35.1,17.1,-0.6,-0.2,-1.0,106.0,70.0,-165.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",99.1,2.1,28.1,-0.7,0.7,0.6,-98.0,-21.0,158.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",25.1,39.1,22.1,0.5,-0.5,0.9,31.0,51.0,-166.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",14.1,12.1,6.1,-0.7,-0.4,0.9,-59.0,20.0,-96.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",75.1,8.1,12.1,0.1,0.6,-1.0,-32.0,-46.0,127.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",8.1,11.1,47.1,-1.0,0.4,0.6,139.0,75.0,73.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",62.1,39.1,4.1,-0.9,-0.4,0.6,110.0,52.0,-127.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",93.1,35.1,38.1,0.1,0.8,-0.9,-49.0,-17.0,60.0,pitch_up
"time.struct_time(tm_year=2024, tm_mon=1, tm_mday=17, tm_hour=11, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=17, tm_isdst=0)",57.1,42.1,43.1,0.5,-0.2,0.3,-165.0,26.0,31.0,pitch_up
